AAPL
MSFT
AMZN
TSLA
NVDA
GOOG
GOOGL
FB
ADBE
NFLX
CSCO
AVGO
COST
PEP
PYPL
CMCSA
QCOM
INTC
INTU
TXN
AMD
TMUS
HON
AMAT
SBUX
ISRG
AMGN
CHTR
MRNA
LRCX
ADI
ADP
MU
BKNG
GILD
MDLZ
CSX
MRVL
REGN
FISV
ASML
JD
KLAC
NXPI
ADSK
ILMN
MELI
DXCM
VRTX
SNPS
WDAY
ALGN
XLNX
LULU
EXC
IDXX
TEAM
MAR
CDNS
KDP
MCHP
MNST
ORLY
CTAS
ATVI
ZM
PAYX
EBAY
CTSH
WBA
AEP
KHC
ROST
CRWD
BIDU
MTCH
VRSK
FAST
XEL
EA
CPRT
BIIB
ANSS
OKTA
DLTR
NTES
PCAR
DOCU
VRSN
CDW
SWKS
SGEN
SIRI
PDD
CERN
SPLK
INCY
CHKP
TCOM
FOXA
PTON
FOX
